Brand_name,Drug_name_original,Drug_name,Sponsor,DrugId,Properties,Indication,Indication_EFO,DiseaseId,TA,Review_type,Year
Lutathera,Lutetium Lu 177 dotatate,LUTETIUM LU 177 DOTATATE,Advanced Accelerator Applications/Novartis,CHEMBL3989924,Somatostatin receptor-targeted radiopharmaceutical,GEP-NETs,digestive system neuroendocrine neoplasm,MONDO_0024503,Oncology,"P, O",2018
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,BICTEGRAVIR,Gilead Sciences,CHEMBL3989866,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,EMTRICITABINE,Gilead Sciences,CHEMBL885,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018
Biktarvy,Bictegravir; emtricitabine; tenofovir alafenamide,TENOFOVIR ALAFENAMIDE,Gilead Sciences,CHEMBL2107825,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,HIV,hiv infection,EFO_0000764,Infectious,P,2018
Symdeko,Tezacaftor; ivacaftor,TEZACAFTOR,Vertex Pharmaceuticals,CHEMBL3544914,CFTR corrector and CFTR potentiator,Cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2018
Symdeko,Tezacaftor; ivacaftor,IVACAFTOR,Vertex Pharmaceuticals,CHEMBL2010601,CFTR corrector and CFTR potentiator,Cystic fibrosis,cystic fibrosis,MONDO_0009061,Metabolic,"P, O, B",2018
Erleada,Apalutamide,APALUTAMIDE,Johnson & Johnson,CHEMBL3183409,Androgen receptor inhibitor,Prostate cancer,prostate cancer,MONDO_0008315,Oncology,P,2018
Trogarzo,Ibalizumab,IBALIZUMAB,TaiMed Biologics/Theratechnologies,CHEMBL1743029,CD4 antibody,HIV,hiv infection,EFO_0000764,Infectious,"P, O, B",2018
Ilumya,Tildrakizumab,TILDRAKIZUMAB,Sun Pharma,CHEMBL2108681,IL-23 antibody,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Dermatology,S,2018
Tavalisse,Fostamatinib,FOSTAMATINIB,Rigel Pharmaceuticals,CHEMBL2103830,SYK inhibitor,Immune thrombocytopenic purpura,autoimmune thrombocytopenic purpura,EFO_0007160,Hematology,"S, O",2018
Crysvita,Burosumab,BUROSUMAB,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,CHEMBL3707326,FGF23 antibody,X-linked hypophosphataemia,Hypophosphatemia,HP_0002148,Endocrine,"P, O, B",2018
Akynzeo IV,Palonosetron; fosnetupitant,PALONOSETRON,Helsinn Group,CHEMBL1189679,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,S,2018
Akynzeo IV,Palonosetron; fosnetupitant,FOSNETUPITANT,Helsinn Group,CHEMBL3989917,5-HT3-receptor antagonist and NK1-receptor antagonist,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,Other,S,2018
Lucemyra,Lofexidine,LOFEXIDINE,US WorldMeds,CHEMBL17860,beta2-adrenoceptor agonist,Opioid withdrawal,opioid dependence,EFO_0005611,Other,P,2018
Aimovig,Erenumab,ERENUMAB,Amgen/Novartis,CHEMBL3833329,CGRP receptor antibody,Migraine,migraine disorder,MONDO_0005277,Neurological,S,2018
Lokelma,Sodium zirconium cyclosilicate,SODIUM ZIRCONIUM CYCLOSILICATE,AstraZeneca,CHEMBL3301592,Potassium binder,Hyperkalaemia,hyperkalemia,HP_0002153,Nephrology,S,2018
Doptelet,Avatrombopag,AVATROMBOPAG,Dova Pharmaceuticals,CHEMBL2103883,Thrombopoietin receptor agonist,Thrombocytopenia,thrombocytopenia,HP_0001873,Hematology,P,2018
Palynziq,Pegvaliase,PEGVALIASE,BioMarin Pharmaceutical,CHEMBL4297802,PAL replacement therapy,Phenylketonuria,phenylketonuria,MONDO_0009861,Metabolic,"P, O",2018
Olumiant,Baricitinib,BARICITINIB,Incyte/Eli Lilly,CHEMBL2105759,JAK inhibitor,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Immunology,S,2018
Moxidectin,Moxidectin,MOXIDECTIN,Medicines Development for Global Health,CHEMBL2104415,Antihelmintic GABA receptor and glutamate channel modulator,River blindness,ocular onchocerciasis,EFO_0007398,Other,"P, O",2018
Epidiolex,Cannabidiol,CANNABIDIOL,GW Pharmaceuticals,CHEMBL190461,Cannabinoid,Dravet syndrome and Lennox-Gastaut syndrome,Dravet syndrome; Lennox-Gastaut syndrome,Orphanet_33069; MONDO_0016532,Neurological,"P, O",2018
Zemdri,Plazomicin,PLAZOMICIN,Achaogen,CHEMBL1650559,Aminoglycoside antibacterial,Urinary tract infections,urinary tract infection,EFO_0003103,Infectious,P,2018
Mektovi,Binimetinib,BINIMETINIB,Array BioPharma,CHEMBL3187723,MEK inhibitor,BRAF-mutated melanoma,melanoma,EFO_0000756,Oncology,"S, O",2018
Braftovi,Encorafenib,ENCORAFENIB,Array BioPharma,CHEMBL3301612,BRAF inhibitor,BRAF-mutated melanoma,melanoma,EFO_0000756,Oncology,"S, O",2018
TPOXX,Tecovirimat,TECOVIRIMAT,SIGA Technologies,CHEMBL1257073,Viral p37 protein inhibitor,Smallpox,smallpox,MONDO_0004651,Infectious,"P, O",2018
Tibsovo,Ivosidenib,IVOSIDENIB,Agios Pharmaceuticals,CHEMBL3989958,IDH1 inhibitor,"IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)",acute myeloid leukemia; cholangiocarcinoma,EFO_0000222; EFO_0005221,Oncology,"P, O",2018
Krintafel,Tafenoquine,TAFENOQUINE,Medicines for Malaria Venture/GlaxoSmithKline,CHEMBL298470,8-Aminoquinoline antimalarial,Plasmodium vivax malaria,Plasmodium vivax malaria,EFO_0007445,Infectious,"P, O, B",2018
Orilissa,Elagolix sodium,ELAGOLIX SODIUM,AbbVie,CHEMBL502182,GnRH receptor antagonist,Pain associated with endometriosis,adenomyosis; pain,MONDO_0010888; EFO_0003843,Other,P,2018
Omegaven,Fish oil triglycerides,FISH OIL TRIGLYCERIDES,Fresenius,CHEMBL4297535,Mixture of fatty acids,Parenteral nutrition-associated cholestasis,cholestasis,MONDO_0001751,Other,"P, O",2018
Mulpleta,Lusutrombopag,LUSUTROMBOPAG,Shionogi,CHEMBL2107831,Thrombopoietin receptor agonist,Thrombocytopenia,thrombocytopenia,HP_0001873,Hematology,P,2018
Poteligeo,Mogamulizumab,MOGAMULIZUMAB,Kyowa Hakko Kirin,CHEMBL1743041,CCR4 antibody,mycosis fungoides or Sezary syndrome,mycosis fungoides,EFO_1001051,Oncology,"P, O, B",2018
Onpattro,Patisiran,PATISIRAN,Alnylam Pharmaceuticals,CHEMBL3989987,TTR-directed small interfering RNA,Hereditary TTR-mediated amyloidosis,hereditary ATTR amyloidosis,MONDO_0017132,Metabolic,"P, O, B",2018
Annovera,Segesterone acetate; ethinyl estradiol vaginal system,SEGESTERONE ACETATE,TherapeuticsMD,CHEMBL3707377,Progestin and estrogen combined hormonal contraceptive,Female contraception,contraception,EFO_0009520,Other,S,2018
Annovera,Segesterone acetate; ethinyl estradiol vaginal system,ETHINYL ESTRADIOL VAGINAL SYSTEM,TherapeuticsMD,CHEMBL691,Progestin and estrogen combined hormonal contraceptive,Female contraception,contraception,EFO_0009520,Other,S,2018
Galafold,Migalastat,MIGALASTAT,Amicus Therapeutics,CHEMBL110458,beta-galactosidase regulator,Fabry disease,fabry disease,MONDO_0010526,Metabolic,"P, O, A",2018
Diacomit,Stiripentol,STIRIPENTOL,Biocodex,CHEMBL1983350,GABA reuptake inhibitor,Dravet syndrome,dravet syndrome,ORDO_33069,Neurological,"P, O",2018
Oxervate,Cenegermin,CENEGERMIN,Dompé,CHEMBL4297852,Recombinant NGF,Neurotrophic keratitis,keratitis,EFO_0009449,Ophthalmology,"P, O, B",2018
Takhzyro,Lanadelumab,LANADELUMAB,Dyax/Shire,CHEMBL3545189,Kallikrein antibody,Hereditary angioedema,hereditary angioedema,MONDO_0019623,Immunology,"P, O, B",2018
Xerava,Eravacycline,ERAVACYCLINE,Tetraphase Pharmaceuticals,CHEMBL1951095,Tetracycline antibiotic,Complicated intra-abdominal infections,infectious disease,EFO_0005741,Infectious,P,2018
Pifeltro,Doravirine,DORAVIRINE,Merck & Co.,CHEMBL2364608,NNRTI,HIV,hiv infection,EFO_0000764,Infectious,S,2018
Lumoxiti,Moxetumomab pasudotox,MOXETUMOMAB PASUDOTOX,AstraZeneca,CHEMBL1743043,CD22-directed antibody–drug conjugate,Hairy cell leukaemia,hairy cell leukemia,EFO_1000956,Oncology,"P, O",2018
Ajovy,Fremanezumab,FREMANEZUMAB,Teva,CHEMBL4297756,CGRP antibody,Migraine,migraine disorder,MONDO_0005277,Neurological,P,2018
Copiktra,Duvelisib,DUVELISIB,Verastem,CHEMBL3039502,PI3K inhibitor,"CLL, FL and SLL",chronic lymphocytic leukemia; follicular lymphoma,EFO_0000095; MONDO_0018906,Oncology,"P, O, A",2018
Emgality,Galcanezumab,GALCANEZUMAB,Eli Lilly,CHEMBL3707328,CGRP antibody,Migraine,migraine disorder,MONDO_0005277,Neurological,S,2018
Vizimpro,Dacomitinib,DACOMITINIB,Pfizer,CHEMBL2105719,EGFR inhibitor,EGFR-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,"P, O",2018
Libtayo,Cemiplimab,CEMIPLIMAB,Regeneron/Sanofi,CHEMBL4297723,PD1 antibody,"CSCC, BCC(*), NSCLC(*)",cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma,EFO_1001927; EFO_0004193; EFO_0003060,Oncology,"P, B",2018
Seysara,Sarecycline,SARECYCLINE,Allergan,CHEMBL2364632,Tetracycline antibiotic,Severe acne vulgaris,acne,EFO_0003894,Dermatology,S,2018
Nuzyra,Omadacycline,OMADACYCLINE,Paratek Pharmaceuticals,CHEMBL1689772,Tetracycline antibiotic,CABP and ABSSSI,bacterial pneumonia; skin disease caused by bacterial infection,EFO_1001272; MONDO_0024295,Other,P,2018
Revcovi,Elapegademase,ELAPEGADEMASE,Leadiant Biosciences,CHEMBL3990026,Recombinant adenosine deaminase,ADA-SCID,"severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency",MONDO_0007064,Immunology,"P, O",2018
Tegsedi,Inotersen,INOTERSEN,Ionis Pharmaceuticals,CHEMBL4297770,TTR-directed antisense oligonucleotide,Hereditary TTR-mediated amyloidosis,hereditary ATTR amyloidosis,MONDO_0017132,Metabolic,"P, O",2018
Talzenna,Talazoparib,TALAZOPARIB,Pfizer,CHEMBL3137320,PARP inhibitor,BRCA-mutated HER2-negative breast cancer,HER2 negative breast carcinoma,EFO_0009780,Oncology,P,2018
Xofluza,Baloxavir marboxil,BALOXAVIR MARBOXIL,Shionogi/Roche,CHEMBL4297503,Polymerase acidic endonuclease inhibitor,Acute uncomplicated influenza,influenza,EFO_0007328,Infectious,P,2018
Lorbrena,Lorlatinib,LORLATINIB,Pfizer,CHEMBL3286830,ALK and ROS1 inhibitor,ALK-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,"P, O, B, A",2018
Yupelri,Revefenacin,REVEFENACIN,Theravance Biopharma/Mylan,CHEMBL3833319,Long-acting muscarinic receptor antagonist,COPD,chronic obstructive pulmonary disease,EFO_0000341,Respiratory,S,2018
Aemcolo,Rifamycin,RIFAMYCIN,Cosmo Technologies,CHEMBL437765,Ansamycin antibacterial,Travellers diarrhoea,Diarrhea,HP_0002014,Other,P,2018
Gamifant,Emapalumab,EMAPALUMAB,Novimmune,CHEMBL3989977,Interferon-γ-blocking antibody,Primary haemophagocytic lymphohistiocytosis,genetic hemophagocytic lymphohistiocytosis,MONDO_0015541,Hematology,"P, O, B",2018
Daurismo,Glasdegib,GLASDEGIB,Pfizer,CHEMBL2043437,Hedgehog pathway inhibitor,AML,,EFO_0000222,Oncology,"P, O",2018
Vitrakvi,Larotrectinib,LAROTRECTINIB,Loxo Oncology/Bayer,CHEMBL3889654,"TRKA, TRKB and TRKC inhibitor",NTRK-positive solid cancers,salivary gland cancer; soft tissue sarcoma; thyroid cancer,MONDO_0004669; EFO_1001968; MONDO_0002108,Oncology,"P, O, B, A",2018
Xospata,Gilteritinib,GILTERITINIB,Astellas,CHEMBL3301622,FLT3 inhibitor,FLT3-positive AML,acute myeloid leukemia,EFO_0000222,Oncology,"P, O, B",2018
Firdapse,Amifampridine,AMIFAMPRIDINE,Catalyst Pharmaceuticals,CHEMBL354077,Potassium channel blocker,Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome ,Orphanet_43393,Neurological,"P, O",2018
Motegrity,Prucalopride,PRUCALOPRIDE,Shire/Takeda,CHEMBL117287,5-HT4-receptor agonist,Chronic idiopathic constipation,constipation disorder,MONDO_0002203,Gastrointestinal,S,2018
Asparlas,Calaspargase pegol,CALASPARGASE PEGOL,Servier,CHEMBL2108728,Asparagine specific enzyme,ALL,acute lymphoblastic leukemia,EFO_0000220,Oncology,"S, O",2018
Ultomiris,Ravulizumab,RAVULIZUMAB,Alexion,CHEMBL3989986,Complement inhibitor,"Paroxysmal nocturnal haemoglobinuria, atypical hemolytic uremic syndrome (*), generalized myasthenia gravis AChR+ (*)","paroxysmal nocturnal hemoglobinuria, atypical hemolytic-uremic syndrome, Myasthenia gravis",MONDO_0100244; MONDO_0016244; EFO_0004991,Hematology,"S, O",2018
Elzonris,Tagraxofusp,TAGRAXOFUSP,Stemline Therapeutics,CHEMBL4297573,IL-3 and diphtheria toxin fusion protein,Blastic plasmacytoid dendritic cell neoplasm,blastic plasmacytoid dendritic cell neoplasm,EFO_0010580,Oncology,"P, O, B",2018
Jeuveau,Prabotulinumtoxin A,PRABOTULINUMTOXIN A,Evolus,CHEMBL4297229,Acetylcholine release inhibitor and a neuromuscular blocking agent,Glabellar lines associated with corrugator and/or procerus muscle activity,Facial wrinkling,HP_0009762,Other,S,2019
Cablivi,Caplacizumab,CAPLACIZUMAB,Sanofi/Ablynx,CHEMBL2109624,vWF-directed nanobody,ATTP,acquired thrombotic thrombocytopenic purpura,MONDO_0019740,Hematology,"P, O",2019
Egaten,Triclabendazole,TRICLABENDAZOLE,Novartis,CHEMBL1086440,Anthelmintic,Fascioliasis,fascioliasis,EFO_1001324,Infectious,"P, O",2019
Zulresso,Brexanolone,BREXANOLONE,Sage Therapeutics,CHEMBL207538,GABAA-receptor-positive modulator,Postpartum depression,postpartum depression,EFO_0007453,Mental health,"P, B",2019
Sunosi,Solriamfetol,SOLRIAMFETOL,Jazz,CHEMBL4297620,Dopamine and noradrenaline reuptake inhibitor,Excessive sleepiness due to narcolepsy or obstructive sleep apnoea,hypersomnia; narcolepsy; obstructive sleep apnea,EFO_0005246; MONDO_0021107; EFO_0003918,Other,"S, O",2019
Mayzent,Siponimod,SIPONIMOD,Novartis,CHEMBL2336071,S1P receptor modulator,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Neurological,S,2019
Evenity,Romosozumab,ROMOSOZUMAB,Amgen,CHEMBL2107874,Sclerostin inhibitor,Osteoporosis,osteoporosis,EFO_0003882,Endocrine,S,2019
Balversa,Erdafitinib,ERDAFITINIB,Janssen /J&J,CHEMBL3545376,FGFR inhibitor,Bladder cancer,urinary bladder carcinoma,MONDO_0004986,Oncology,"P, B, A",2019
Skyrizi,Risankizumab,RISANKIZUMAB,AbbVie,CHEMBL3990029,IL-23 antagonist,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Dermatology,S,2019
Vyndaqel,Tafamidis,TAFAMIDIS,Pfizer/Foldrx,CHEMBL2103837,Transthyretin stabilizer,Heart disease caused by ATTR-CM,cardiomyopathy,EFO_0000318,Cardiovascular,"P, O, B",2019
Piqray,Alpelisib,ALPELISIB,Novartis,CHEMBL2396661,PI3K inhibitor,Breast cancer,breast cancer,MONDO_0007254,Oncology,P,2019
Polivy,Polatuzumab vedotin,POLATUZUMAB VEDOTIN,Roche,CHEMBL3301582,CD79b-directed ADC,Diffuse large B-cell lymphoma,diffuse large b-cell lymphoma,EFO_0000403,Oncology,"P, O, B, A",2019
Vyleesi,Bremelanotide,BREMELANOTIDE,Amag,CHEMBL2070241,Melanocortin receptor agonist,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,Other,S,2019
Xpovio,Selinexor,SELINEXOR,Karyopharm Therapeutics,CHEMBL3545185,XPO1 inhibitor,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,"P, O, A",2019
Recarbrio,Cilastatin; imipenem; relebactam,CILASTATIN,Merck & Co.,CHEMBL766,"A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,urinary tract infection,EFO_0003103,Infectious,P,2019
Recarbrio,Cilastatin; imipenem; relebactam,IMIPENEM,Merck & Co.,CHEMBL148,"A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,urinary tract infection,EFO_0003103,Infectious,P,2019
Recarbrio,Cilastatin; imipenem; relebactam,RELEBACTAM,Merck & Co.,CHEMBL3301605,"A renal dehydropeptidase inhibitor, a penem antibacterial and a beta-lactamase inhibitor",Complicated urinary tract and complicated intra-abdominal infections,urinary tract infection,EFO_0003103,Infectious,P,2019
Accrufer,Ferric maltol,FERRIC MALTOL,Shield Therapeutics,CHEMBL4298110,Iron replacement product,Iron deficiency anaemia,iron deficiency anemia,HP_0001891,Hematology,S,2019
Nubeqa,Darolutamide,DAROLUTAMIDE,Bayer,CHEMBL4297185,Androgen receptor inhibitor,Prostate cancer,prostate cancer,MONDO_0008315,Oncology,P,2019
Turalio,Pexidartinib,PEXIDARTINIB,Daiichi Sankyo,CHEMBL3813873,"CSF1R, KIT and FLT3 inhibitor",Tenosynovial giant cell tumour,Tenosynovial Giant Cell Tumor,EFO_1000562,Oncology,"P, O, B",2019
