"datasourceId","Drug_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_biomarkers","Viloxazine","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Piflufolastat F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Pafolacianine","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Melphalan flufenamide","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Maribavir","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Ibrexafungerp","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Fosdenopterin","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Fexinidazole","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Efgartigimod alfa","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Drospirenone; estetrol","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Drospirenone; estetrol","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Difelikefalin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Cabotegravir; rilpivirine","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Belumosudil","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Avacopan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Asparaginase erwinia chrysanthemi","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Asparaginase erwinia chrysanthemi","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Ponesimod","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Pegcetacoplan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Atogepant","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Anifrolumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Ropeginterferon alfa-2b","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Voclosporin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Tisotumab vedotin","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Maralixibat","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Finerenone","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Umbralisib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Umbralisib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Dasiglucagon","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Belzutifan","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Odevixibat","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Evinacumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Vosoritide","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Inclisiran","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Dostarlimab","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Loncastuximab tesirine","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Asciminib","Oncology",FALSE,NA,TRUE,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Tezepelumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Trilaciclib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Trilaciclib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Tralokinumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Vericiguat","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Dexmethylphenidate; serdexmethylphenidate","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Dexmethylphenidate; serdexmethylphenidate","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Lonapegsomatropin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Tivozanib","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Infigratinib","Oncology",FALSE,TRUE,TRUE,0.607930797611621,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Tepotinib","Oncology",FALSE,TRUE,TRUE,0.919067987742997,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Aducanumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Casimersen","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Sotorasib","Oncology",FALSE,TRUE,TRUE,0.942151532920827,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Avalglucosidase alfa","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Mobocertinib","Oncology",FALSE,TRUE,TRUE,0.968836966996368,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Amivantamab","Oncology",FALSE,TRUE,TRUE,0.968836966996368,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_gene_census","Viloxazine","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Piflufolastat F-18","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Pafolacianine","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Melphalan flufenamide","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Maribavir","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Ibrexafungerp","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Fosdenopterin","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Fexinidazole","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Efgartigimod alfa","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Drospirenone; estetrol","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Drospirenone; estetrol","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Difelikefalin","Other indication",FALSE,NA,NA,0,"CGC (COSMIC)","Somatic",2021
"cancer_gene_census","Cabotegravir; rilpivirine","No human target",TRUE,NA,NA,NA,"CGC (COSMIC)","Somatic",2021
