"datasourceId","Drug_brand_name","TA","noTarget","interactionAssociation","phenotypeAssociation","score","datasourceName","datasourceType","Year"
"cancer_biomarkers","Xenon Xe 129 hyperpolarized","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Vonoprazan; amoxicillin; clarithromycin","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Vonoprazan; amoxicillin; clarithromycin","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Voclosporin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Viloxazine","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Ublituximab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Tezepelumab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Terlipressin","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Tebentafusp","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Sutimlimab","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","SRP-9001","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Sodium phenylbutyrate; taurursodiol","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Sodium phenylbutyrate; taurursodiol","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","SER-109","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","RSVpreF","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Ponesimod","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Piflufolastat F-18","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Pegcetacoplan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Pafolacianine","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Oteseconazole","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Omidenepag isopropyl","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Omidenepag isopropyl","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2022
"cancer_biomarkers","Olorofim","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Olanzapine; samidorphan","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Nedosiran","Other indication",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2023
"cancer_biomarkers","Melphalan flufenamide","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Maribavir","No human target",TRUE,NA,NA,NA,"Cancer Biomarkers (CGI)","Somatic",2021
"cancer_biomarkers","Loncastuximab tesirine","Oncology",FALSE,NA,NA,0,"Cancer Biomarkers (CGI)","Somatic",2021
